"pianist_id","segment_id","annotator_id","arousal","valence","gems_wonder","gems_transcendence","gems_tenderness","gems_nostalgia","gems_peacefulness","gems_power","gems_joyful_activation","gems_tension","gems_sadness","gemmes_flow","gemmes_movement","gemmes_force","gemmes_interior","gemmes_wandering"
1,0,91,1,-1,2,1,2,4,2.0,1,1,1,2,3,2,1,1.0,2
1,0,19,2,-1,3,3,3,4,4.0,1,2,3,3,3,2,2,3.0,3
1,0,189,2,0,2,1,2,1,4.0,2,2,1,1,3,2,1,1.0,4
1,0,126,2,2,4,5,2,3,5.0,2,4,1,3,5,1,2,2.0,5
1,0,26,4,2,3,5,2,3,3.0,1,3,4,1,4,1,2,3.0,1
1,0,8,2,-1,3,4,4,5,3.0,2,1,3,4,4,1,1,2.0,4
1,0,161,3,0,5,3,3,4,2.0,1,1,2,2,4,2,2,3.0,3
1,0,181,4,0,3,3,2,4,4.0,2,3,1,2,3,3,3,4.0,4
1,0,53,4,1,3,3,4,4,4.0,5,3,2,4,4,2,4,4.0,4
1,0,119,4,0,5,5,4,5,3.0,4,4,4,2,4,3,4,4.0,4
1,0,105,4,0,3,2,4,4,4.0,2,2,1,2,5,3,1,5.0,5
1,1,82,4,1,5,4,3,4,3.0,3,4,4,1,5,4,2,2.0,1
1,1,173,3,-1,3,4,2,3,3.0,1,1,4,3,4,3,1,3.0,4
1,1,62,5,-1,4,5,4,1,1.0,2,2,1,2,4,5,4,2.0,1
1,1,61,4,0,4,3,2,2,2.0,4,4,3,2,3,3,3,2.0,2
1,1,187,4,-1,1,2,1,2,1.0,2,1,4,3,1,4,3,4.0,2
1,1,172,5,1,4,4,2,3,2.0,4,5,1,2,4,5,4,2.0,2
1,1,94,4,0,4,3,2,3,1.0,2,3,3,1,4,4,1,2.0,2
1,1,31,2,1,2,1,1,1,1.0,1,3,1,1,2,5,2,1.0,2
1,2,91,3,0,1,1,2,1,1.0,1,3,5,1,1,5,2,1.0,1
1,2,19,4,1,4,4,2,2,1.0,5,5,3,1,5,5,4,2.0,1
1,2,189,2,0,2,2,1,1,1.0,3,2,4,1,4,5,2,1.0,2
1,2,126,3,1,2,1,2,3,1.0,2,3,2,2,4,1,3,1.0,3
1,2,26,4,2,4,3,2,1,3.0,3,4,2,1,3,4,4,2.0,4
1,2,8,3,0,4,4,2,2,2.0,3,2,4,2,4,2,3,4.0,2
1,2,161,2,-1,4,3,1,1,1.0,3,2,5,2,2,4,2,3.0,2
1,2,181,2,-1,2,2,3,3,3.0,2,3,3,3,3,4,3,1.0,3
1,2,53,2,-1,2,2,1,1,1.0,5,3,4,3,3,5,4,2.0,2
1,2,119,3,1,2,4,1,1,1.0,2,2,2,1,1,1,2,1.0,1
1,2,105,4,0,4,2,1,1,2.0,3,4,3,2,3,4,4,3.0,2
1,3,82,1,-1,1,1,1,1,1.0,4,1,5,3,1,1,4,1.0,2
1,3,173,3,-1,2,2,1,2,1.0,2,1,5,3,2,3,2,2.0,2
1,3,62,5,0,1,2,2,1,2.0,5,3,3,1,5,5,4,1.0,1
1,3,61,3,1,5,2,3,5,3.0,1,1,1,4,3,1,1,1.0,4
1,3,187,4,0,1,3,1,1,1.0,2,1,4,2,1,2,3,3.0,1
1,3,172,2,-1,2,1,1,1,1.0,2,1,4,1,1,5,3,1.0,1
1,3,94,3,-1,2,2,1,2,1.0,3,1,3,4,2,4,1,3.0,2
1,3,31,3,1,1,1,1,1,1.0,2,3,2,1,1,5,2,2.0,1
1,4,91,4,0,1,1,1,2,1.0,1,1,3,5,3,1,1,2.0,1
1,4,19,3,1,5,5,2,4,2.0,2,2,3,2,4,3,2,3.0,3
1,4,189,3,1,1,1,4,2,2.0,3,1,2,1,2,3,1,4.0,3
1,4,126,3,0,3,2,3,2,2.0,1,1,1,2,2,1,2,1.0,2
1,4,26,3,0,2,2,1,1,3.0,2,2,2,1,2,2,3,3.0,2
1,4,8,4,1,5,3,4,4,4.0,2,2,2,2,4,2,2,4.0,2
1,4,161,4,1,5,5,5,4,3.0,4,1,2,2,4,2,3,4.0,3
1,4,181,1,-2,1,1,1,1,1.0,1,1,5,5,1,1,1,1.0,1
1,4,53,4,-1,3,4,4,5,3.0,4,2,3,3,3,2,4,3.0,4
1,4,119,2,-1,3,3,2,2,3.0,2,2,3,4,3,1,2,2.0,1
1,4,105,2,-2,1,2,1,1,1.0,4,1,4,5,5,1,5,4.0,4
1,5,82,2,0,4,3,5,5,4.0,4,5,4,2,4,5,4,4.0,3
1,5,173,2,1,4,2,4,3,4.0,1,2,1,2,4,2,1,5.0,3
1,5,62,3,2,4,5,2,3,3.0,2,4,2,1,4,2,3,2.0,4
1,5,61,3,1,3,3,1,1,2.0,3,3,2,1,3,2,3,2.0,3
1,5,187,3,1,2,2,1,1,1.0,3,4,1,1,2,4,4,1.0,4
1,5,172,4,1,4,5,4,4,5.0,3,5,1,2,5,4,2,3.0,5
1,5,94,4,1,3,3,1,1,3.0,1,5,1,1,4,4,1,5.0,3
1,5,31,2,1,5,4,1,1,1.0,2,3,1,2,4,3,1,1.0,1
1,6,91,3,1,3,3,5,2,3.0,1,1,1,1,4,1,1,1.0,2
1,6,19,3,-2,2,2,4,4,3.0,1,1,2,5,2,3,2,4.0,2
1,6,189,2,2,2,1,5,2,4.0,1,3,1,1,4,3,1,1.0,3
1,6,126,3,2,3,4,4,3,2.0,1,3,1,2,4,1,1,1.0,3
1,6,26,4,1,2,1,3,3,4.0,2,2,1,1,4,1,2,4.0,1
1,6,8,2,2,1,3,5,5,5.0,1,2,1,3,5,2,1,4.0,2
1,6,161,3,0,5,4,5,5,3.0,2,1,1,4,3,1,1,3.0,1
1,6,181,4,2,5,5,5,5,5.0,2,2,2,2,2,3,3,2.0,3
1,6,53,5,1,4,4,5,5,5.0,2,4,2,2,5,2,1,4.0,5
1,6,119,2,0,2,2,2,2,4.0,1,3,1,3,2,1,1,2.0,2
1,6,105,2,0,4,2,4,5,5.0,2,1,1,3,3,3,2,5.0,4
1,7,82,3,-1,5,4,3,3,2.0,4,4,4,5,4,3,3,2.0,1
1,7,173,2,0,2,1,4,3,3.0,1,2,1,3,3,2,1,4.0,2
1,7,62,4,1,5,4,2,2,2.0,3,5,2,1,4,2,2,4.0,3
1,7,61,2,0,2,2,2,3,2.0,2,2,2,2,2,2,2,2.0,2
1,7,187,4,0,2,2,1,3,1.0,2,2,4,2,1,3,3,2.0,4
1,7,172,3,1,2,2,1,1,1.0,1,2,1,1,2,3,1,2.0,2
1,7,94,3,-1,2,1,1,2,1.0,1,2,4,4,2,4,1,2.0,1
1,7,31,2,-1,1,1,1,2,1.0,3,1,3,3,1,3,4,2.0,1
1,8,91,4,-1,1,1,1,1,1.0,1,5,4,1,1,4,1,1.0,1
1,8,19,4,1,4,5,4,5,2.0,3,3,4,1,5,4,4,2.0,1
1,8,189,3,1,4,1,1,1,1.0,3,4,3,1,3,5,3,2.0,4
1,8,126,2,1,2,1,2,2,1.0,2,2,1,1,2,2,2,1.0,1
1,8,26,3,2,3,5,2,1,3.0,2,3,1,1,2,3,2,1.0,1
1,8,8,4,0,4,3,2,3,3.0,2,4,3,2,4,1,2,2.0,4
1,8,161,2,1,4,4,1,1,1.0,3,4,2,1,1,3,2,3.0,3
1,8,181,1,0,1,1,1,1,1.0,2,2,5,5,1,1,2,2.0,2
1,8,53,2,0,2,2,2,1,2.0,4,1,5,3,2,5,3,2.0,1
1,8,119,1,1,2,2,3,1,1.0,2,2,3,1,2,4,4,1.0,1
1,8,105,5,2,4,2,3,1,1.0,5,5,4,1,3,4,4,1.0,1
1,9,82,2,-1,4,4,3,3,2.0,3,3,4,3,4,4,3,3.0,2
1,9,173,1,1,4,2,4,5,4.0,1,2,1,2,4,2,1,3.0,2
1,9,62,4,1,5,2,4,2,2.0,3,4,3,2,5,1,2,3.0,4
1,9,61,2,-1,2,3,2,3,2.0,1,1,2,3,2,1,3,2.0,1
1,9,187,2,1,3,2,3,4,2.0,1,1,1,2,4,1,1,2.0,3
1,9,172,3,1,3,5,4,2,4.0,1,3,1,2,4,2,1,4.0,1
1,9,94,2,0,4,4,2,1,3.0,1,4,1,1,4,5,1,1.0,3
1,9,31,2,2,4,1,1,3,2.0,1,2,1,1,4,2,1,1.0,4
1,10,91,2,1,3,2,4,1,1.0,1,4,3,2,4,2,1,1.0,1
1,10,19,3,0,3,3,4,4,2.0,3,3,2,2,4,4,2,2.0,2
1,10,189,2,1,3,2,4,3,2.0,1,4,1,1,5,4,1,2.0,4
1,10,126,4,1,3,2,2,2,2.0,1,1,1,1,4,1,1,2.0,3
1,10,26,5,1,1,1,3,4,4.0,1,2,2,3,4,2,1,2.0,2
1,10,8,2,1,4,4,3,2,4.0,2,3,1,2,4,2,2,2.0,4
1,10,161,3,1,5,2,3,1,3.0,1,1,2,1,3,1,1,1.0,3
1,10,181,3,-1,2,3,3,2,4.0,2,3,3,2,3,2,3,4.0,3
1,10,53,4,1,4,3,4,5,5.0,3,4,2,3,4,3,3,2.0,4
1,10,119,2,0,3,3,2,1,2.0,1,2,1,1,3,3,2,1.0,1
1,10,105,3,1,4,4,3,4,2.0,2,3,1,3,4,4,2,4.0,4
1,11,82,5,1,5,4,2,3,3.0,4,3,1,3,4,3,3,4.0,3
1,11,173,2,-1,1,1,2,3,3.0,1,1,3,4,5,2,1,4.0,3
1,11,62,2,-1,4,1,3,2,4.0,3,2,4,4,4,3,2,2.0,1
1,11,61,4,-2,2,1,2,5,2.0,1,1,3,5,5,1,2,3.0,4
1,11,187,4,1,3,2,2,4,3.0,1,1,2,3,3,1,1,4.0,1
1,11,172,4,1,1,2,2,4,4.0,3,1,2,2,4,2,2,3.0,1
1,11,94,4,2,5,4,4,2,1.0,3,5,2,3,4,3,3,5.0,5
1,11,31,2,0,3,1,1,1,1.0,1,1,1,1,4,2,1,1.0,3
1,12,91,3,0,1,1,1,2,1.0,2,4,4,1,2,3,1,1.0,1
1,12,19,4,0,4,4,4,3,1.0,3,3,4,2,3,4,4,2.0,2
1,12,189,3,-1,3,2,1,1,1.0,3,2,4,1,4,2,3,2.0,4
1,12,126,3,-1,1,1,1,2,1.0,2,3,4,2,1,2,3,5.0,1
1,12,26,4,1,4,4,2,1,2.0,3,3,4,1,3,2,3,1.0,2
1,12,8,4,-1,4,4,1,2,2.0,3,3,4,2,4,4,3,2.0,4
1,12,161,4,0,4,3,1,1,1.0,3,4,5,1,1,3,2,3.0,2
1,12,181,2,-1,2,2,2,1,1.0,2,1,5,3,1,2,2,2.0,2
1,12,53,4,0,3,4,2,4,3.0,4,2,4,3,3,4,4,4.0,2
1,12,119,1,0,2,1,2,1,3.0,2,2,1,1,2,1,2,1.0,1
1,12,105,3,-1,4,3,2,3,1.0,3,3,3,4,3,3,3,3.0,2
1,13,82,3,-1,3,3,2,2,1.0,4,3,4,4,4,3,2,2.0,2
1,13,173,2,-2,2,3,1,1,1.0,3,1,5,4,2,2,3,2.0,2
1,13,62,4,-1,1,2,3,1,2.0,3,1,5,1,4,3,4,2.0,1
1,13,61,2,-1,2,2,2,2,1.0,2,1,4,4,2,2,2,2.0,2
1,13,187,4,-1,1,1,1,2,1.0,2,1,5,4,1,3,3,2.0,4
1,13,172,4,-1,3,2,1,4,1.0,3,1,5,4,3,1,1,2.0,3
1,13,94,3,-1,1,1,1,4,2.0,1,1,5,4,1,4,2,3.0,1
1,13,31,3,-1,1,1,1,3,1.0,1,1,3,2,2,3,4,2.0,1
1,14,91,4,-1,1,1,1,3,1.0,4,2,4,1,1,3,5,3.0,1
1,14,19,5,1,4,4,1,1,1.0,4,4,5,1,4,5,5,2.0,1
1,14,189,3,0,2,1,1,2,1.0,3,2,3,2,1,3,3,2.0,2
1,14,126,5,-2,1,1,1,1,1.0,3,1,5,1,1,1,3,5.0,1
1,14,26,4,0,3,5,1,1,3.0,4,1,5,1,1,4,4,1.0,3
1,14,8,5,-1,2,2,1,1,1.0,5,2,5,1,1,4,5,2.0,4
1,14,161,5,-1,2,1,1,1,1.0,5,4,4,1,1,4,5,2.0,1
1,14,181,1,0,1,1,1,1,1.0,2,1,5,2,2,2,3,3.0,2
1,14,53,3,-1,2,2,2,3,1.0,4,2,4,4,2,5,4,2.0,1
1,14,119,2,0,1,1,1,1,1.0,2,2,3,1,2,1,3,1.0,1
1,14,105,5,0,1,1,1,1,1.0,4,2,4,2,2,2,5,1.0,2
1,15,82,2,-1,1,1,2,2,1.0,3,1,4,3,1,2,3,2.0,2
1,15,173,3,-1,2,3,1,2,2.0,2,1,5,3,2,3,3,2.0,2
1,15,62,4,0,5,2,2,4,1.0,2,1,5,3,2,5,2,5.0,4
1,15,61,3,-1,4,1,2,5,5.0,1,1,1,2,4,1,1,1.0,3
1,15,187,4,-1,2,3,1,1,1.0,2,1,4,3,1,4,2,2.0,4
1,15,172,2,-1,2,2,1,2,2.0,3,1,4,2,1,2,3,3.0,2
1,15,94,4,-1,4,4,1,3,1.0,3,4,4,4,3,2,4,2.0,1
1,15,31,2,-1,2,2,1,1,1.0,1,2,3,2,2,3,2,2.0,2
1,16,91,3,-2,2,1,1,4,5.0,1,1,1,4,4,2,2,2.0,1
1,16,19,2,-1,3,4,2,5,4.0,1,2,3,3,4,2,2,4.0,3
1,16,189,3,-2,1,2,1,3,2.0,1,1,2,4,3,4,2,4.0,1
1,16,126,3,1,2,1,2,3,2.0,2,3,1,2,3,1,1,1.0,4
1,16,26,4,0,2,4,1,1,3.0,2,1,3,2,3,1,2,2.0,1
1,16,8,2,-1,2,2,2,5,3.0,1,1,3,5,2,1,1,5.0,2
1,16,161,2,0,1,5,2,4,2.0,2,1,3,3,4,2,2,3.0,2
1,16,181,3,0,3,3,2,3,4.0,3,2,5,4,3,3,2,3.0,3
1,16,53,3,0,4,4,3,4,4.0,3,3,3,3,3,3,3,2.0,4
1,16,119,2,-1,2,1,2,3,4.0,2,3,2,3,2,2,3,2.0,2
1,16,105,2,2,5,2,4,5,5.0,2,1,2,2,5,2,1,5.0,5
1,17,82,4,-2,2,2,1,1,1.0,4,2,5,5,1,1,4,2.0,1
1,17,173,3,-1,3,3,2,3,1.0,3,1,5,3,2,3,3,4.0,3
1,17,62,5,0,3,1,1,1,1.0,2,4,5,1,2,5,5,3.0,4
1,17,61,3,1,1,3,1,1,1.0,5,5,2,1,1,3,1,1.0,1
1,17,187,4,0,2,2,1,3,1.0,3,1,5,2,1,4,3,3.0,2
1,17,172,4,-2,2,1,1,1,1.0,1,1,5,1,1,5,5,1.0,1
1,17,94,3,0,1,1,1,1,1.0,1,1,5,1,1,5,4,1.0,1
1,17,31,4,0,1,1,1,1,1.0,1,2,4,1,1,4,2,1.0,1
1,18,91,5,0,1,1,1,1,1.0,1,5,4,1,1,4,2,1.0,1
1,18,19,5,0,4,4,3,3,1.0,3,3,4,2,2,2,3,4.0,1
1,18,189,1,0,2,1,1,1,1.0,2,3,1,1,2,3,2,1.0,3
1,18,126,3,-1,1,1,1,2,1.0,2,1,4,1,1,2,3,5.0,1
1,18,26,4,-1,4,4,1,2,2.0,3,1,4,1,2,1,4,2.0,1
1,18,8,4,0,4,3,1,3,2.0,3,2,4,1,2,1,4,4.0,2
1,18,161,3,0,4,4,1,1,1.0,3,4,5,1,1,3,2,3.0,2
1,18,181,3,1,3,3,3,2,2.0,3,3,1,1,3,3,2,2.0,2
1,18,53,2,0,3,2,2,2,1.0,4,2,5,3,2,5,4,3.0,2
1,18,119,1,0,2,1,1,1,2.0,1,2,2,1,2,2,2,1.0,1
1,18,105,5,0,2,1,1,1,1.0,3,3,4,2,2,5,5,2.0,2
1,19,82,3,-1,1,1,1,1,1.0,2,1,5,4,2,1,2,2.0,1
1,19,173,3,-2,3,2,1,1,1.0,3,2,4,5,3,3,2,2.0,1
1,19,62,5,-1,2,1,1,1,1.0,5,1,4,1,1,5,5,3.0,1
1,19,61,1,0,1,1,1,1,1.0,1,2,1,1,1,2,1,1.0,1
1,19,187,3,-1,1,2,1,3,1.0,2,1,4,4,1,3,3,4.0,1
1,19,172,4,-1,1,1,1,1,1.0,2,2,5,2,2,2,1,3.0,1
1,19,94,2,-1,1,2,1,1,1.0,3,2,5,1,1,4,5,2.0,1
1,19,31,4,-1,1,1,1,1,1.0,2,1,4,1,1,2,4,2.0,1
1,20,91,4,-1,1,1,1,1,1.0,3,1,4,1,1,2,4,3.0,1
1,20,19,5,0,3,4,2,3,1.0,4,4,5,1,3,4,5,2.0,1
1,20,189,4,0,2,3,1,1,1.0,4,2,5,1,1,5,4,2.0,3
1,20,126,2,0,1,1,2,1,1.0,2,2,1,1,2,2,2,1.0,1
1,20,26,3,1,4,2,5,1,2.0,3,2,4,1,1,3,4,2.0,2
1,20,8,3,0,4,2,2,4,3.0,2,1,4,3,3,2,2,4.0,2
1,20,161,3,-1,2,4,1,1,1.0,3,2,5,1,1,3,3,3.0,4
1,20,181,3,1,3,4,3,2,2.0,4,3,3,2,3,4,4,3.0,3
1,20,53,4,-1,2,2,1,1,1.0,4,1,4,3,1,5,4,2.0,2
1,20,119,1,0,2,2,2,3,2.0,1,1,1,1,2,1,2,2.0,2
1,20,105,5,0,3,1,1,1,1.0,5,3,4,2,1,5,5,1.0,1
1,21,82,3,1,5,5,4,4,5.0,4,5,1,2,5,5,2,4.0,3
1,21,173,2,-1,4,3,2,2,3.0,1,1,2,4,4,1,1,5.0,2
1,21,62,1,-1,5,4,4,4,2.0,2,2,4,2,5,1,1,3.0,4
1,21,61,2,-1,5,2,4,5,5.0,1,1,1,3,5,1,1,2.0,5
1,21,187,2,0,2,3,1,3,1.0,2,2,3,1,1,3,3,4.0,1
1,21,172,2,-1,2,3,4,5,5.0,2,2,1,4,4,2,2,5.0,5
